carat,x,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
1.1,6.61,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.29,6.96,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1.2,6.88,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.5,7.43,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.9,6.17,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
0.32,4.39,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.3,4.26,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
0.61,5.51,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2.01,8.08,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.31,4.37,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0.64,5.54,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.41,4.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.52,5.16,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0.3,4.34,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.01,6.37,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2.01,8.12,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.32,4.42,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.51,7.4,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
2.5,8.55,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.7,5.66,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.34,4.5,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1.7,7.67,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1.2,6.83,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.35,4.49,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.36,4.68,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
0.56,5.32,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.27,4.15,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0.33,4.47,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.38,4.66,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.5,5.01,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
1.21,6.82,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
